id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
371,45048,8,CO,0,0,0,0,0,0,0,0,8,6,0,0,0
363,30965,55604,CO,9,132,19,2,0,0,0,0,3195,2044,71,0,233
383,45460,6304,MX,0,7,1,0,0,0,0,0,436,0,0,0,8
365,28341,15484,CO,3,3,2,2,0,0,0,3,5844,3757,309,582,904
373,30965,55604,CO,7,87,11,0,0,0,0,0,2416,1458,48,0,153
372,38875,22182,CO,0,4,0,0,0,0,0,1,567,386,3,0,8
376,38875,22182,CO,0,1,1,0,0,0,0,0,694,492,10,0,12
315,31197,103847,CO,7,318,40,19,1,0,0,1,30764,19016,1473,5128,6987
349,39414,242665,PE,28,1406,67,71,1,0,0,8,81346,57256,1620,0,3201
323,38505,1049579,PE,5,278,19,0,2,0,0,74,54630,39182,3413,8599,12390
324,28285,1009218,PE,20,517,71,2,4,0,2,107,139178,94337,5344,18766,24833
330,41896,144594,PE,0,16,2,0,0,0,0,0,2690,1782,42,0,60
325,30769,486520,PE,10,389,47,0,1,0,0,109,70950,51772,9378,14913,24847
328,29257,595742,PE,46,1020,171,3,2,4,24,142,227927,161435,10449,32144,44005
329,28850,91573,PE,1,25,0,0,0,0,0,0,2155,1440,43,0,69
291,26660,722268,MX,1,113,4,0,1,1,0,2,21001,16522,459,0,581
339,40881,0,MX,3,67,13,2,0,0,0,15,45386,43064,1503,0,1603
567,48995,56903,MX,62,524,49,2,0,0,0,16,4541,0,731,0,653
355,41896,144594,PE,7,111,2,0,0,0,0,0,16517,12180,584,0,704
348,28850,91573,PE,4,84,13,0,0,0,0,0,12078,8891,847,0,948
595,45443,372257,MX,24,2793,700,2,12,0,0,13,70497,0,6344,0,9888
354,30769,486520,PE,51,4166,261,7,4,1,0,14,163796,113873,3406,0,7910
353,26264,102674,MX,0,40,1,0,1,0,0,1,9076,6515,142,0,185
341,30864,125352,MX,1,10,1,0,0,0,0,0,601,407,2,0,14
331,40579,18564,PE,0,17,0,0,0,0,0,3,17591,9742,109,594,723
375,33252,2091353,MX,7,316,9,1,8,1,0,3,74972,46782,1181,5057,1526
352,26264,102674,MX,0,44,2,0,0,0,0,1,7983,5187,36,0,83
357,40579,18564,PE,207,21819,713,24,38,3,5,65,586675,492437,14879,0,37753
370,41652,229388,PE,15,842,39,1,4,0,1,16,44508,27960,1092,0,2010
